run_id,seed,t_train_fit,t_grok,metric_name,threshold_type,threshold_value,t_metric,lead_time_steps,lead_time_fraction_of_grok_time,metric_value_at_t_metric,metric_value_at_t_grok
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K8,relative_0.8,0.8,10.0,25990.0,0.9996153846153846,-0.0184968209426359,-0.0015158007803765
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,log_weight_norm,relative_0.5,0.5,30.0,25970.0,0.9988461538461538,3.438287119603325,3.729361488105096
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,log_weight_norm,relative_0.8,0.8,50.0,25950.0,0.9980769230769231,3.748975562037721,3.729361488105096
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,ntk_drift_correct_logit,relative_0.5,0.5,2400.0,23600.0,0.9076923076923077,55.27832524801223,110.068818317629
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,ntk_drift_correct_logit,relative_0.8,0.8,9000.0,17000.0,0.6538461538461539,89.88115011519673,110.068818317629
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,ntk_drift_correct_logit,absolute,0.25,20.0,25980.0,0.9992307692307693,0.7119825451959174,110.068818317629
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,ntk_drift_correct_logit,absolute,0.5,20.0,25980.0,0.9992307692307693,0.7119825451959174,110.068818317629
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,ntk_drift_correct_logit,absolute,1.0,30.0,25970.0,0.9988461538461538,2.050954478281541,110.068818317629
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,train_loss,relative_0.5,0.5,40.0,25960.0,0.9984615384615385,1.7140324115753174,1.8854915424526557e-06
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,train_loss,relative_0.8,0.8,60.0,25940.0,0.9976923076923077,0.2895790338516235,1.8854915424526557e-06
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,train_loss,absolute,0.05,90.0,25910.0,0.9965384615384615,0.0394518300890922,1.8854915424526557e-06
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,train_loss,absolute,0.01,450.0,25550.0,0.9826923076923076,0.0099318912252783,1.8854915424526557e-06
